Society_Polity,State_Formation_low,State_Formation_high,formation,Adulthood_Date,Peak_Power,Collapse_low,Collapse_high,collapse,Approx_age,age,Political_Type,Political_Sub_Type,Region,Capital,Source,Proximate_Cause,Underlying_Cause,Collapse_Tra,Notes,Relatationship,Capital_1,lat1,continent,lon1,Capital_2,lat2,lon2,Capital_3,lat3,lon3,violience_attractor,censored
Karkota dynasty of Kashmir,627,,627,,724,850,,850,223-223 years,223,Kingdom,unknown,Southern Asia,,Pal (2016),Replaced by the Utpala dynasty in the middle of the 9th century,,,Data from a 12th historical account Rajatarangini by Kahlan- four centuries after the Karkota dynasty; probably affects its fidelity,,,,,,,,,,,,,FALSE
Khazar Khaganate,630,679,654.5,,900,969,,969,290-339 years,314.5,Confederacy,Khaganate,Eastern Europe,"Balanjar (c. 650–720), Samandar (720s–750), Atil (750–c. 965–969)","Taagepera (1997), early formation date and underlying cause of collapse from Golden (2016)",Capital of Itel taken by Kiev (alliance of Oghuz and Rus'),Conquest took place on a background of declining Khazar revenue due to the expansion of Volga Bulghar trade.,,,,"Balanjar (location unknown, but probably between modern day B?b al-Abw?b and Samanda).",,Europe,,Samandar (modern Dagestan),43.1,46.883333,"Atil (unknown, but could be modern day Samosdelka)",46.02199991,47.83766332,,FALSE
Rashidun Caliphate,632,,632,,,,661,661,29-29 years,29,Empire,Caliphate,Western Asia,,Urban (2016),Civil war (elite competition).,,,,,,,,,,,,,,,,FALSE
Chenla/Zhenla,640,,640,,650,810,,810,170-170 years,170,Confederacy,unknown,South-Eastern Asia,"Isanapura, Sambhupura",Seshat (2020),,,,"Referred to bybthe chinese as a unified state, but it was likely a cluster of competing city states.",Continous with Funan?,Isanapura,12.87083333,Asia,105.0430556,,,,,,,,FALSE
Kyrgyz Khaganate,650,,650,,840,920,1207,1063.5,270-557 years,413.5,Empire,Khaganate,Eastern Europe,,Kradin (2016),"Early end date: Left the Mongolian steppes by 920, possibly forced out by the Liao Empire. Late end date: Conquered and became vassals of the Mongols",,,,,,,,,,,,,,,,FALSE
Umayyad Caliphate,661,,661,,,,750,750,89-89 years,89,Empire,Caliphate,Western Asia,,Judd (2016),"Dynastic crisis, revenue shortfalls (diminshing returns on conquest) and elite competition.",,,,,,,,,,,,,,,,FALSE
Bulgarian Medieval Empire I,681,,681,,,1018,,1018,337-337 years,337,State,unknown,Eastern Europe,,Angelov (2016),Conquered by Byzantium,,,,,,,,,,,,,,,,FALSE
Kingdom of Parhae / Balhae Kingdom,698,,698,,818,926,,926,228-228 years,228,Kingdom,unknown,South-Eastern Asia,Dongmo Mountain,"Nanhee (2016),Lee and Leidy (2013), Mohan (2016).",Khitan invasion,,,,,,,,,,,,,,,,FALSE
Türgesh (Türgish) Khaganate,699,,699,,,715,745,730,16-46 years,31,Empire,Khaganate,Central Asia,Balasagun,Encyclopedia of Empire (2016),Decline and crises period in 711-715 due to being conquered by the Eastern Turks. Crisis period 715-745. Sulu lost confidence of the elites after failed wars and breaking with tradition by establishing a silk salary system. Internal rebellion by elites supported by Tang Dynasty. Final defeat by Qarlug.,,,,,,,,,,,,,,,,FALSE
Pala Empire,700,800,750,,,1150,1200,1175,350-500 years,425,Empire,unknown,Southern Asia,,Pal (2016),Replaced by the Senas,,,Vague dates given by entry; start date in the 8th century end date: second half of 12th century.,,,,,,,,,,,,,FALSE
Toltec Empire,700,,700,,900,1150,,1150,450-450 years,450,Empire,unknown,Central America,Tollan,Smith (2016),,,,,,,,,,,,,,,,,FALSE
Pratihara (Gurjara-Pratihara dynasty),730,836,783,,860,910,1000,955,74-270 years,172,Empire,unknown,Southern Asia,Kannauj,"Taagepera (1997) , early formation date, late end date and proximate and ultimate causes of collapse from Pal (2016)",Invasion by Mahmud of Ghazni in the early 11th century,,,"Early formation date the ""first half of the 8th century"" 830CE chosen as a midpoint. Refers to reign of Nagabhata I who founded the Gurjara Pratihara line of Kanauj.",,Kannauj,27.07,Asia,79.92,,,,,,,,FALSE
Medang Kingdom / Early Mataram / Central Javanese Empire,732,,732,,850,929,1019,974,197-287 years,242,Kingdom,unknown,South-Eastern Asia,"Mataram, Mamrat, iPoh Pitu, Tamwlang, Watu, Galuh, Wwatan","Seshat (2020), notes and low range collapse date from Klokke (2016).",,,,"Nominal degree of centralisation. Low Range date (929 CE) refers to shift from Central Java to East Java. The reason for the shift is debated, possibly for its opportunities to cultivate rice/easy access to sea.",Continous with the Kalingga Kingdom.,Mataram,-8.58333,Asia,116.11667,Mamrat (unclear),,,iPoh Pitu (unclear),,,,FALSE
Liao (Kitan),744,916,830,,947,1125,1218,1171.5,209-474 years,341.5,Empire,unknown,Eastern Asia,Shangjing (Linhuang),"Taagepera (1997), late state formation and verification of other dates from Qui (1993) and Wilkinson (2018). Wright (2019) place this as 907-1125 CE). Verified with Wyatt (2016). Verification and underlying cause of collapse/transformation from Rossabi (2016).","Conquered by Jurchen in 1125, revived before collapse.","The Song renounced the treaty of Shanyuan (which had ensured peaceful coexistence of the Song and the Liao) and unsuccessfully attacked the Liao in 1115, making the Liao vulnerable. Also internal struggles primarily succesion clashes due to conflicting succesion mechanisms of pre-dynastic Liao Chiefly elections and Chinese hereditary succesion.",,,,Shangjing (Linhuang),43.96666667,Asia,119.3833333,,,,,,,,FALSE
Uigur/Uighur (Uyghur Khaganate),744,,744,,800,840,,840,96-96 years,96,Confederacy,Khaganate,Eastern Asia,Ordu-Baliq (Mongolia),"Taagepera (1997), Wright (2019) places this as 744-840 which is verified by Kovalev (2016), hence we have opted for this timeframe.","Heavy snows, epidemics and famine devasated livestock in 839. Interpreted by many as a loss of divine legitimacy. Rebellion, coup by general Miang with Qirgiz led to destruction of capital.",Elite fracture and competition. Hazards such as disease and climatic change.,,,,Ordu-Baliq (Mongolia),47.43111111,Asia,102.6594444,,,,,,,,FALSE
Abbasid Caliphate,750,,750,,,,1258,1258,508-508 years,508,Empire,Caliphate,Western Asia,"Medina (632–656), Kufa (656–661), Damascus (661–744), Harran (744–750), Capital-in-exile Córdoba (756–1031)",Nawas (2016),Loss of political control by Caliphate. High range: invasion by Hulegu (Mongol army) in 1268 CE,Loss of political control probably speeded up by lack of income due to silver and gold mines being in breakaway regions (Nawas 2016),,"Rashidun Caliphate ended in 661 following succession disputes/ civil war relating to the assassination of Ushman (656), replaced by Umayyad Caliphate.",,Medina,24.46666667,Asia,39.6,Kufa,32.03,44.4,Damascus,33.51305556,36.29194444,,FALSE
Carolingian Empire,751,752,751.5,,811,811,888,849.5,59-137 years,98,Empire,unknown,Western Europe,Aix La Chapelle,"Seshat (2020), Nelson (2016).",The empire experienced a period of socio-political instability and split after the death of Charlemagne  in 811  .,,,Early end date reflects the death of Charlemagne  and fragmentation of Kingdom. It was briefly reunited under Charles the Fat (884-887  ) which marks the later end date. The earlier date of 811 appears more accuarate.,Continous with the Frankish Kingdoms?,Aix La Chapelle,50.77555556,Europe,6.083611111,,,,,,,,FALSE
Rashtrakuta,753,,753,,821,973,,973,220-220 years,220,Empire,unknown,Southern Asia,Malkhged,Seshat (2020). Verified with Mishra (2016),Weakened by a poor king and a Pallava raid it was then overtaken by a rebellion Tailapa II (a Chalukya feudatory).,,,,,Malkhged,17.195,Asia,77.16083333,,,,,,,,FALSE
Caliphate of Cordoba,756,,756,,1000,1010,1031,1020.5,254-275 years,264.5,Empire,Caliphate,Southern Asia,Córdoba,Taagepera (1997),"Fragmentation begin in 1010, resulting in dissolution in 1031.",,,,,Córdoba,37.88450722,Europe,-4.7795675,,,,,,,,FALSE
Rustamid Dynasty,777,,777,,,909,,909,132-132 years,132,Confederacy,unknown,Northern Africa,Tarhart,Aillet (2016),Fatimid conquest,Divided by political conflicts and weakened by Kairouan imposing hegemony over Ifrîqiya,,,,,,,,,,,,,,,FALSE
Heian Period,794,,794,,794,1185,,1185,391-391 years,391,Empire,unknown,Eastern Asia,Kyoto,Seshat (2020),Overthrow by the Kamakura Shogunate.,,,,Continous with the Asuka Period.,Kyoto,35.011667,Asia,135.768333,,,,,,,,FALSE
Aghlabid dynasty (Medieval empire of Ifriqiya),795,,795,,875,909,,909,114-114 years,114,Empire,unknown,Northern Africa,,Amara (2016),Conquest by the Shi'ite Fatimid dynasty,,,,,,,,,,,,,,,,FALSE
Khmer Empire (Angkorian State),800,802,801,,1290,1415,1431,1423,613-631 years,622,Empire,unknown,South-Eastern Asia,"Mahendraparvata (early 9th cent.), Hariharalaya (9th cent.), Koh Ker (928–944 AD), Yasodharapura (Angkor) (late 9th to early 15th cent.)","Taagepera (1997), Jacobsen (2016) for early collapse date and Stark (2019) for late collapse date. Verified with Jacobsen (2016)",Conquered by French. Continous major losses since peak.,"Plague (Gunderson, 2015), climatic change and ecoligical breakdown (Fagan, 2015; Buckley et al 2010).",Collapse.,,,Mahendraparvata,13.612778,Asia,104.1125,Hariharalaya,13.33333333,103.9666667,Koh Ker,13.775,104.5472222,,FALSE
Holy Roman Empire,800,,800,,,,1806,1806,1006-1006 years,1006,Empire,Kingdom,Western Asia,,Wilson (2016),Dissolved through the abdication of Emperor Francis II,,,,,,,,,,,,,,,,FALSE
Tahirid (nominally part of the Abbasid Caliphate),800,,800,,800,960,,960,160-160 years,160,Empire,Imperial Dynasty,Western Asia,"Merv, Nishapur",Taagepera (1997),Conquest by Ghaznavids.,,,,,Merv,37.66277778,Asia,62.1925,Nishapur,36.21333333,58.79583333,,,,,FALSE
Samanid,819,875,847,,928,990,999,994.5,115-180 years,147.5,Empire,unknown,Western Asia,"Samarkand (819–892), Bukhara (892–999)

","Taagepera (1997) , early state end from Seshat (2020), verified with Morgan (2016).",The Samanid territories were split between the Karakhanids and Ghaznavids.,,,Emeregence as viceroy for Tahirids in 819   and then independence in 875  .,,Samarkand,39.7,Asia,66.98333333,Bukhara,39.76666667,64.43333333,,,,,FALSE
Kimek Khaganate,840,,840,,850,1220,1230,1225,380-390 years,385,Empire,unknown,Central Asia,,Kovalev and Mako (2016),Mongol Conquest,,,"Formation date (840) refers to the transition of Kimek from a tribal confederation (which orginated ""presumably sometime after 766""(:1)) to a Khaganate. Sources regarding formationare contradictory and inadeqaute however.",,,,,,,,,,,,,FALSE
Kara-Khanid Khanate,840,950,895,,1068,1212,,1212,262-372 years,317,Confederacy,Khaganate,Central Asia,"Samarkand, Kashgar, Bukhara, Balasagun, Suyab",Seshat (2020),Defeat by the Qara Khitans followed by multiple revolts.,,,"Early date reflects beginning under Tengism, and late state formation is the conversion to Islam.",,Samarkand,39.7,Asia,66.98333333,Kashgar,39.4681,75.9938,Bukhara,39.76666667,64.43333333,,FALSE
Burmese Empire I (Pagan Kingdom),849,,849,1044,,1287,,1287,438-438 years,438,Kingdom,Pegu,South-Eastern Asia,,Charney (2016),Yuan Chinese Invasion (Recorded by Marco Polo),"Pagan was trending towards collapse prior to Chinese invasion; Labour and land flowed from tax base to religion (based on Buddhist moral economy), argued therefore that state was fatally weakened over time.",,,,,,,,,,,,,,,FALSE
Chola Empire,850,,850,,,1179,1279,1229,329-429 years,379,Empire,Kingdom,Southern Asia,"Poompuhar Urayur, Tiruvarur
Medieval Cholas: Pazhaiyaarai, Thanjavur
Gangaikonda Cholapuram",Mahalakshmi (2016),Rajendra III (last ruler of Chola Dynasty) defeated by Pandyan king Maravarman Kulasekara in 1279.,Political economy related decline and rise of additional regional powers including the Hoysalas and the Pandyas.,,"Chola rule can be broadly divided into four periods – early
(850–985), middle (986–1070), later(1071–1178) and later (1179–1279)–",,,,,,,,,,,,,FALSE
Kievan Rus,858,,858,,1000,1054,1150,1102,196-292 years,244,Confederacy,unknown,Eastern Europe,Kiev,"Taagepera (1997) , verified with Shepard (2016)","Fragmentation in 1054 (after death of Iaroslav), followed by decline in 1150.",,,,,Kiev,50.45,Europe,30.52333333,,,,,,,,FALSE
Saffarid dynasty (Persian Empire),861,,861,,,900,,900,39-39 years,39,Empire,unknown,Western Asia,,Morgan (2016),Defeat by the Samanids,,,,,,,,,,,,,,,,FALSE
British Empire,1600,,1600,,,1707,,1707,107-107 years,107,Empire,unknown,Western Europe / Global,,MacMillan (2016),Became the Kingdom of Great Britain with the Anglo-Scottish Act of Union of 1707,,,1707 reflects a change from composite monarchies to a single monarchy,,,,,,,,,,,,,FALSE
Tulunid Egypt,871,,871,,,905,,905,34-34 years,34,State,unknown,Northern Africa,Fustat,Mackenzie (2016),Abbasid caliphate reasserted authority,Weakened by excessive spending on building projects and the army and dynastic strife (murder of both Khumarawayh and his son Harun),,,,,,,,,,,,,,,FALSE
Gao Empire (Kawkaw),872,,872,,,1300,,1300,428-428 years,428,Empire,unknown,Western Africa,,McIntosh (2016),Came under the political control of the Mali Empire,,,Start date (872) refers to earliest historical details of Kawkaw (from the Arab geographer Al-Yaqubi). End date: last of royal tombstone enscriptions at Gao-Saney date to the end of the 13th century,,,,,,,,,,,,,FALSE
Medieval Kingdom of Hungary,895,,895,,,1540,,1540,645-645 years,645,Kingdom,unknown,Eastern Europe,,Sutt (2016),"Defeated by the Ottomans at the battle of Mohacs, Louis II killed. Empire spilt between Ottoman-occupied central portion, Habsburg-controlled Western portion and the quasi-independent Transylvanian principality.",,,Actual control of conquered territories minimal provided they recognised sovereignty of the Hungarian King. Formation date (895) refers to the arrival of the Hungarians/Magyars in the Carpathian Basin.,,,,,,,,,,,,,FALSE
Chimú Empire,899,900,899.5,,,1470,1471,1470.5,570-572 years,571,Empire,unknown,South America,Chan Chan,"Moore and Mackey, 2001",Conquered by the Inca.,,,,,Chan Chan,,,,,,,,,,,FALSE
Novgorod,900,1000,950,,,1478,,1478,478-578 years,528,State,City-State,Eastern Europe,Novgorod,Langer (2016),Annexed by Moscow,,,"Start date: Founded in the ""10th Century""",,,,,,,,,,,,,FALSE
Adal Sultanate,900,,900,,1200,1543,,1543,643-643 years,643,Empire,Sultanate,Eastern Africa,Zayla,Haji Mukhtar (2016),Conquest by the allied Abyssinian-Portuguese forces,,,Final conquest occurred at the end of long lasting conflict with Abyssian kingdom beginning in the 14th century. Empire made up of (loosely connected by 14th century) emirates.,,Zayla,,,,,,,,,,,FALSE
Later Liang,907,,907,,,923,,923,16-16 years,16,Empire,Imperial Dynasty,Eastern Asia,"Luoyang (907–913)
Kaifeng (913–923)",Qiu (1993),Warlord succession,,,,,Luoyang,34.66972222,Asia,112.4422222,Kaifeng,34.798,114.308,,,,,FALSE
Fatimid Caliphate,909,909,909,,,1171,1171,1171,262-262 years,262,Empire,Caliphate,Northern Africa,,Chandio (2021),,,,,,,,,,,,,,,,,FALSE
Goryeo Dynasty,918,,918,,,1270,1392,1331,352-474 years,413,Kingdom,Dynasty,South-Eastern Asia,Kaesong,"Lee and Leidy (2013), proximate cause of collapse from Hahn (2016)",Replaced by the Joseon dynasty (1392),,,Vassal state of the Yuan Dynasty from 1270 onwards.,,,,,,,,,,,,,FALSE
Later Tang,923,,923,,,936,,936,13-13 years,13,Empire,Imperial Dynasty,Eastern Asia,"Daming (923), Luoyang (923–936)",Qiu (1993) and Wilkinson (2018),Warlord succession.,,,,,Daming,36.28333333,Asia,115.15,Luoyang,34.66972222,112.4422222,,,,,FALSE
Icelandic Commonwealth,930,,930,,,1200,1275,1237.5,270-345 years,307.5,Confederacy,Republic,Northern Europe,Reykjavik,Seshat (2020),Subsumed by the Kingdom of Norway.,,,,,Reykjavik,64.13333333,Europe,-21.93333333,,,,,,,,FALSE
Buyid,932,945,938.5,,980,1055,1062,1058.5,110-130 years,120,Empire,Imperial Dynasty,Western Asia,"Shiraz (Buyids of Fars, 934–1062), Ray (Buyids of Jibal, 943–1029), Baghdad (Buyids of Iraq, 945–1055)","Taagepera (1997) , information on decline (underlying cause) from Morgan (2016)",Conquered by Seljuk Empire.,Plagued by succession problemsfollowing the death senior Buyid Adud al-Dawla in 983. Gradual decline (loss of territories) from this point onwards.,,Morgan (2016) argues Buyid was more a family confederation than a centrally ruled empire.,,Shiraz,29.58511944,Asia,52.58988056,Ray,35.58333333,51.43333333,Baghdad,33.33333333,44.38333333,,FALSE
Later Jin,936,,936,,,947,,947,11-11 years,11,Empire,Imperial Dynasty,Eastern Asia,"Taiyuan (936), Luoyang (937), Kaifeng (937–947)",Qiu (1993),Warlord succession,,,,,Taiyuan,37.86944444,Asia,112.5602778,Luoyang,34.66972222,112.4422222,Kaifeng,34.798,114.308,,FALSE
Later Han,947,,947,,,951,,951,4-4 years,4,Empire,Imperial Dynasty,Eastern Asia,Bian (Kaifeng),Qiu (1993),Warlord succession,,,,,Bian (Kaifeng),34.798,Asia,114.308,,,,,,,,FALSE
Later Zhou,951,,951,,,960,,960,9-9 years,9,Empire,Imperial Dynasty,Eastern Asia,Kaifeng,Qiu (1993),Warlord succession,,,,,Kaifeng,34.798,Asia,114.308,,,,,,,,FALSE
Karakhanid Khanate,955,,955,,,1040,1213,1126.5,85-258 years,171.5,Confederacy,Khaganate,Central Asia,,Biran (2016),Early end date (1040): Split into Eastern and Western. Eastern became a vassal of the Seljuqs. Both came under the control of the Kara Khitan Khanate in the 12th century. Late end date: The last Karakhanid ruler executed by the Khwarazm Shah in 1213 marking the end of the dynasty.,,,Sketchy historical record regarding the formation of the Khanate.,,,,,,,,,,,,,FALSE
North Song Dynasty,960,,960,,1050,1127,,1127,167-167 years,167,Empire,Imperial Dynasty,Eastern Asia,"Kaifeng, Luoyang","Zhang et al (2005a), Qui (1993), Wilkinson (2018). Peak date from Seshat (2020). Verified with Wyatt (2016).",,The North Song abandoned Northern China to Jin forces.,,,,Kaifeng,34.798,Asia,114.308,Luoyang,34.66972222,112.4422222,,,,,FALSE
Ghaznavid,962,,962,,1029,1186,,1186,224-224 years,224,Empire,unknown,Western Asia,"Ghazna (977–1163), Lahore (1163–1186)","Taagepera (1997), note on loss of Persian lands from Morgan (2016)",Conquered by Ghor (the Ghurids),,,Lost Persian lands in 1040 in defeat by the Seljuk Turks,,Ghazna,33.54916667,Asia,68.42333333,Lahore,31.54972222,74.34361111,,,,,FALSE
Poland Medieval (Piast Dynasty),963,,963,,,,1370,1370,407-407 years,407,Kingdom,unknown,Eastern Europe,Krakow,"Urbanczyk (2016), verified with Nowak (2016)",Dynasy ended when Kazimierz Wielki died in 1370 without a male hier,,,"Start date (963) refers to first appearance of first historical piast ruler (duke Mieszko I of Wielkopolska) on to Central European stage with defeat by Saxon fugitive Wichmann Billung the
Younger.  Feudal disintegration in the 12th century but recovered into a stable state in 1320 with coronation of Wladyslaw Lokietek.",,,,,,,,,,,,,FALSE
Seljuk/Seljuq,970,,970,,1080,1194,,1194,224-224 years,224,Empire,unknown,Western Asia,"Nishapur (1037–1043), Rey (1043–1051), Isfahan (1051–1118), Merv, Eastern capital (1118–1153), Hamadan, Western capital (1118–1194)",Taagepera (1997),,,,,,Nishapur,36.21333333,Asia,58.79583333,Rey,35.58333333,51.43333333,Isfahan,32.64472222,51.6675,,FALSE
Zirid Dynasty  (Medieval empire of Ifriqiya),972,,972,,,1148,,1148,176-176 years,176,Empire,unknown,Northern Africa,Mahdia,Amara (2016),Conquest by the Normans of Sicily,,,,,,,,,,,,,,,,FALSE
Kingdom of Georgia,975,1089,1032,,,1245,,1245,156-270 years,213,Kingdom,unknown,Eastern Europe,,Chkhartishvili (2016),Fragmentation of the kingdom,Socio-economic developments in feudal society tending to the fragmentation of the kingdom as well as external pressures (raids by the mongols from the 1220s),,"Early state formation date refers to the initial reunification of the Kingdom under Bagrat III (975-1014). Late formation date the beginning of Georgia as an expansionist empire (pan-Caucasus Empire). End date (1245) refers to the fall of the ruler Rusudan, after which two rival kings ruled Georgia simultaneously until the kingdom split into two parts.",,,,,,,,,,,,,FALSE
Capetian Kingdom/Capetian Dynasty,987,1180,1083.5,,1285,1328,,1328,148-341 years,244.5,Kingdom,Dynasty,Western Europe,Paris,Seshat (2020),Succession crisis resulting in the Valois Dynasty taking power.,,Transformation?,Combination of the Proto-French Kingdom and lare Capetian. The kingdom was loose and largely only in control of Paris until 1180   under Phillip II.,Continous with the Caroligian Empire?,Paris,48.856613,Europe,2.352222,,,,,,,,FALSE
Uqaylid Emirate,990,,990,,,1096,1169,1132.5,106-179 years,142.5,Empire,Emirate,Eastern Asia,Mosul,Hanne (2016),Conquered by Zangid.,Conquest.,,,,,,,,,,,,,,,FALSE
Italo-Norman Empire,1000,1130,1065,,,1194,,1194,64-194 years,129,Empire,unknown,Southern Europe,,Oldfield (2016),Conquered by the German Empire (1194),,,"Fragmented prior to the creation of the Kingdom of Sicily in 1130 CE. Debated whether or not It was an empire, had imperial characteristics as the Kingdom of Siciliy e.g. expansion into North Africa",,,,,,,,,,,,,FALSE
Kingdom of Buganda,1000,1500,1250,,1800,1880,,1880,380-880 years,630,Kingdom,unknown,Eastern Africa,,Yoder (2016),"Colonisation by Britain, became a British Protectorate",,,"Dates, especially formation date, provided by Encylopedia of Empires are vague. Needs rectifying or excluding.",,,,,,,,,,,,,FALSE
Chimu Empire,1000,,1000,1200,,1462,1472,1467,462-472 years,467,Empire,unknown,South America,Chan Chan,Pillsbury (2016),Conquest by the Inka Empire,,,,,,,,,,,,,,,,FALSE
Anglo-Scandinavian (North Sea) Empire,1015,,1015,,,1042,1535,1288.5,27-520 years,273.5,Empire,unknown,Northern Europe,,Shepard (2016),"Early end date: Death of Cnut, Harold Harefoot took over England.",,,"An evanescant ""empire"" consisting of Norway, Denmark and England",,,,,,,,,,,,,FALSE
Eastern Ganga Empire,1038,,1038,,,1434,,1434,396-396 years,396,Empire,unknown,Southern Asia,,Mishra (2016),Coup d'état led by Kapilendradeva; established rule of Suryavamsi Gajapatis in 1434,"Imperial structure undermined by repeated invasions by neighbours, weakening of administrative machinery and revolt by govenors of provinces (dandapatas)",,,,,,,,,,,,,,,FALSE
"Xixia (western Xia, in Tibet)",1038,,1038,,,1227,,1227,189-189 years,189,Empire,Kingdom,Eastern Asia,Xingqing  (modern Yinchuan),"Wilkinson (2018), verified with Solonin (2016) and Wyatt (2016).","Invaded by Mongols (Wilkinson, 2018; Solonin, 2016).",,,,,Xingqing  (modern Yinchuan),38.46666667,Asia,106.2666667,,,,,,,,FALSE
Delhi Sultanate,1040,1206,1123,,1312,1398,1526,1462,192-486 years,339,Empire,Sultanate,Southern Asia,"Lahore (1206–1210), Badayun (1210–1214), Delhi (1214–1327),  Daulatabad (1327–1334), Delhi (1334–1506), Agra (1506–1526)

","Taagepera (1997), late state formation and confirmation from Seshat (2020), verified with Dalziel (2016).",Fragmentation after numerous defeats. Conquered by Babur (Mongols) in 1526.,,,,,Lahore,31.54972222,Asia,74.34361111,Badayun,28.03351944,79.12059444,Delhi,28.70463333,77.10231944,,FALSE
Kediri Kingdom,1049,,1049,,,1222,,1222,173-173 years,173,Kingdom,unknown,South-Eastern Asia,Kediri,Seshat (2020),,,Transformation. Centre of power shifted to Singhasari and resulted in a new dynasty.,Nominal degree of centralisation.,Continous with the Kahuripan Kingdom.,Kediri,-7.816611111,Asia,112.0119167,,,,,,,,FALSE
Almoravid Empire,1050,,1050,,,1148,1150,1149,98-100 years,99,Empire,Caliphate,Northern Africa,"Tinmel (1121–1147), Marrakesh (1147–1269), In Al-Andalus: Seville (1147–1162), Córdoba (1162–1163), Seville (1163–1248)[3]","Taagepera (1997) , early end date and proximate cause of collapse from Bennison (2016)",Deafeat by Almohads. Marrakesh taken in 1148,,,,,Tinmel,30.98464722,Africa,-8.228475,Marrakesh (1147–1269),31.63,-8.008888889,,,,,FALSE
Anglo-Norman Empire,1066,,1066,,,1204,,1204,138-138 years,138,Empire,Kingdom,Western Europe,,Raich (2016),King John lost Normandy to King Philip Augustus of France 1204 CE,,,Argued by some to be a realm rather than an empire. Separate concerns and jurisdictions in each territory and no reference to empire by contemporaries.,,,,,,,,,,,,,FALSE
Sultanate of Rum,1077,,1077,,1220,1307,,1307,230-230 years,230,Confederacy,unknown,Western Asia,Konya,Seshat (2020),,,,,Cultural assimilation with the Seljuk Empire.,Konya,37.86666667,Asia,32.48333333,,,,,,,,FALSE
Khwarazmian Empire,1082,1194,1138,,,1221,1231,1226,27-149 years,88,Empire,unknown,Central Asia,,Mitchell (2016),Mongol Conquest,,,Early formation date 1082 refers to the installation of Anushtigin Garcha’I as govenor of Khwarazm by the Seljuk Sultan. Remained under Seljuk or Kara-Khitan rule until 1194 and the battle of Rayy in which the Khwarazmshahs defeated the Seljuks. In a tributary relationship with Kara-Khitan until 1210. 10 year-long attempt to restore the empire folowing defeat by the Mongols ultimately failed in 1231.,,,,,,,,,,,,,FALSE
Mixtec Empire,1100,,1100,,,1450,1521,1485.5,350-421 years,385.5,Empire,unknown,Central America,Tututepec,Joyce (2016),Conquered by the Aztecs (mid 1400s) and then aided the Conquistadors before being conquered by them (1521 is used as an approximate date).,,,Start date (1100CE) refers to Mixtec arrival in lower Rio Verde valley,,,,,,,,,,,,,FALSE
Danish Empire,1100,,1100,,1625,,2016,2016,916-916 years,916,Empire,unknown,Northern Europe,Copenhagan,Kjaergaard (2016),,,,"Expansion until 1625 then decline, sometimes slow sometimes catastrophic, until the 20th century",,,,,,,,,,,,,TRUE
Kara-Khitan Khanate (Western Liao),1124,,1124,,1142,1218,,1218,94-94 years,94,Empire,Khaganate,Central Asia,,"Biran (2016), verified with Rossabi (2016)",Conquest by the Mongols,,,,Established by Liao fugitives who escaped from north China when the Liao dynasty was overthrown (1125),,,,,,,,,,,,FALSE
Jurchen (Chin) (Great Jin),1125,,1125,,1126,1210,1234,1222,85-109 years,97,Empire,Imperial Dynasty,Eastern Asia,"Huining Prefecture (1122–1153), Zhongdu (1153–1214), Kaifeng (1214–1233), Caizhou (1233–1234)","Taagepera (1997) , late state date and early end date from Qiu (1993) and Wilkinson (2018)",Mongol conquest from 1210 onwards resulting in total defeat in 1234.,,,"Tungus revolt against Liao in 110, and defeated Liao in 1125.",,Huining Prefecture,45.5368,Asia,126.9671,Zhongdu,39.91151,116.36027,Kaifeng,34.798,114.308,,FALSE
South Song Dynasty,1127,,1127,,,1279,,1279,152-152 years,152,Empire,Imperial Dynasty,Eastern Asia,"Bianjing (960–1127), Jiangning (1129–1138), Lin'an (1138–1276)","Zhang et al (2005a), Qui (1993), Wilkinson (2018). Proximate cause of collapse and relationship to previous polity from Wyatt (2016).",Mongol conquest from 1235 until defeat in 1279.,,,,Continuous with the North Song Dynasty in all respects apart from the political.,Bianjing,34.798,Asia,114.308,Jiangning,32.05837,118.79647,Lin'an,30.25,120.1666667,,FALSE
Ethiopian Empire,1135,1270,1202.5,,,1974,,1974,704-839 years,771.5,Empire,unknown,Eastern Africa,"Addefa (during the Zagwe dynasty), Gonder,",Rubinikowska-Aniol (2016),Revolution against Hayle Sillasie in 1974,,,Early start date the start of the Zagwe Dynasty from Conti Rossini (1928:303). Late start date start of rule by Yikuno Amlak and transfer of centre of power further south. Italian occupation of Ethiopia between 1936 and 1941 - a transformation or interegnum?,Kingdom of Aksum provided a 'cultural cradle' for the Ethiopian Empire,,,,,,,,,,,,FALSE
Crown of Aragon,1137,,1137,,,1715,,1715,578-578 years,578,Confederacy,Kingdom,Southern Europe,,Kagay (2016),"Became part of ""Spain"" when Bourbon dynasty replced the Hapsburgs 1715 CE",,,Union of autonomous kingdoms,,,,,,,,,,,,,FALSE
Khwarizm (Chorezm),1138,1200,1169,,1218,1240,1240,1240,40-102 years,71,Empire,Imperial Dynasty,Western Asia,Gurganj,Taagepera (1997),Mongol conquest.,,,"Vice-royalty, effeciely independent in 1138   and formal indepence in 1200  .",,Gurganj,42.32488056,Asia,59.18191389,,,,,,,,FALSE
